Senator,Estimated Holdings,Symbol,Company,Sector,Industry
Catherine Cortez Masto (D-NV),"$128,000",OAKLX,OAKLX - Oakmark Select I,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
John Boozman (R-AR),"$128,000",IGSB,iShares 1-3 Year Credit Bond ETF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Sheldon Whitehouse (D-RI),"$127,900",T,AT&T Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Amy Klobuchar (D-MN),"$126,200",FBALX,Fidelity Balanced Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
John Hoeven (R-ND),"$126,100",F,Ford Motor Co,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Tom Udall (D-NM),"$125,900",SMCWX,American Funds SMALLCAP World A,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Mark Warner (D-VA),"$125,700",MINIX,MFS International Value Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
David Perdue (R-GA),"$125,600",BRK-B,Berkshire Hathaway Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
David Perdue (R-GA),"$125,600",NKE,Nike Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Joe Manchin (D-WV),"$125,600",VFIAX,Vanguard 500 Index Admiral Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Sheldon Whitehouse (D-RI),"$125,300",BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Susan Collins (R-ME),"$124,800",AWK,American Water Works,Public Utilities,Water Supply
Pat Toomey (R-PA),"$124,300",XLU,Utilities Select Sector SPDR ETF,Health Care,Major Pharmaceuticals
Chuck Grassley (R-IA),"$124,200",BDJ,Blackrock Enhanced Equity Divid Trust,Health Care,Major Pharmaceuticals
Susan Collins (R-ME),"$124,000",MTD,Mettler-Toledo International Inc.,Health Care,Major Pharmaceuticals
John Thune (R-SD),"$123,200",JABAX,Janus Balanced Fund,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$123,100",ORCL,Oracle Corp,Health Care,Major Pharmaceuticals
Richard Burr (R-NC),"$123,000",MET,MetLife Inc,Health Care,Major Pharmaceuticals
Mark Warner (D-VA),"$122,500",EFA,Equity Investments MSCI EAFE,Health Care,Major Pharmaceuticals
Tina Smith (D-MN),"$121,400",TCF,TCF Financial Corp,Health Care,Major Pharmaceuticals
John Hoeven (R-ND),"$121,100",ARCC,Ares Capital Corporation,Health Care,Major Pharmaceuticals
Mark Warner (D-VA),"$120,700",HALO,Halozyme Therapeutics Inc,Health Care,Major Pharmaceuticals
Thad Cochran (R-MS),"$120,500",STE,Steris Corp,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$120,400",IWO,iShares Russell 2000 Growth Fund,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$119,800",LOW,Lowe's Companies,Health Care,Major Pharmaceuticals
Richard Burr (R-NC),"$118,800",ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
James M Inhofe (R-OK),"$118,100",V,Visa Inc,Consumer Services,Television Services
John Hoeven (R-ND),"$117,900",XSLV,Invesco S&amp;P SmallCap Low Volatility ETF,Consumer Services,Television Services
Sheldon Whitehouse (D-RI),"$117,600",PBE,PowerShares Dynamic Biotech & Genome ETF,Consumer Services,Television Services
Tom Carper (D-DE),"$117,300",PNQI,PowerShares NASDAQ Internet ETF,Consumer Services,Television Services
John Hoeven (R-ND),"$117,000",TGT,Target Corp,Consumer Services,Television Services
John Hoeven (R-ND),"$116,900",NFLX,Netflix Inc,Consumer Services,Television Services
Ron Wyden (D-OR),"$116,400",FREAX,Nuveen Real Estate Securities Fund,Consumer Services,Television Services
Bill Cassidy (R-LA),"$116,100",TRRSX,TIAA-CREF Real Estate Sec Retire,Consumer Services,Television Services
John Boozman (R-AR),"$115,700",EEM,iShares Emerging Market,Consumer Services,Television Services
John Boozman (R-AR),"$115,300",MIDKX,S&P Midcap,Consumer Services,Television Services
James M Inhofe (R-OK),"$115,200",BAF,BlackRock Inc,Consumer Services,Television Services
Jack Reed (D-RI),"$114,900",TMO,Thermo Fisher Scientific,Consumer Services,Television Services
John Boozman (R-AR),"$114,600",CMCSA,Comcast Corporation,Consumer Services,Television Services
David Perdue (R-GA),"$114,500",MMP,Magellan Midstream Partners,Basic Industries,Major Chemicals
Pat Toomey (R-PA),"$114,100",IBB,iShares Nasdaq Biotechnology ETF,Basic Industries,Major Chemicals
David Perdue (R-GA),"$113,800",MA,Mastercard Inc,Basic Industries,Major Chemicals
David Perdue (R-GA),"$113,600",ALB,Albemarle Corporation,Basic Industries,Major Chemicals
Angus King (D-ME),"$113,100",EAAIX,Wells Fargo Advantage Asset Allocation Fund,Health Care,Medical Specialities
John Hoeven (R-ND),"$113,100",KDP,Keurig Dr Pepper Inc.,Health Care,Medical Specialities
Tim Kaine (D-VA),"$113,000",DUK,Duke Energy,Health Care,Medical Specialities
Tammy Duckworth (D-IL),"$112,900",AGTHX,American Funds Growth Fund of America,Health Care,Medical Specialities
Rob Portman (R-OH),"$112,900",VGELX,Vanguard Energy Fund,Health Care,Medical Specialities
Jerry Moran (R-KS),"$112,700",XOM,Exxon Mobil,Health Care,Medical Specialities
Susan Collins (R-ME),"$112,500",FEQTX,Fidelity Equity Dividend Income Fund,Health Care,Medical Specialities
Amy Klobuchar (D-MN),"$112,100",FEQIX,Fidelity Equity Income Fund,Health Care,Medical Specialities
Pat Toomey (R-PA),"$112,100",ICF,iShares Cohen & Steers REIT,Health Care,Medical Specialities
Pat Toomey (R-PA),"$112,000",IXP,iShares Global Telecom,Health Care,Medical Specialities
Susan Collins (R-ME),"$111,900",PEP,Pepsico Inc,Health Care,Medical Specialities
Pat Roberts (R-KS),"$111,300",NOC,Northrop Grumman Corporation,Health Care,Medical Specialities
David Perdue (R-GA),"$111,300",VZ,Verizon Communications,Health Care,Medical Specialities
Ted Cruz (R-TX),"$111,100",XOM,Exxon Mobil,Health Care,Medical Specialities
Sheldon Whitehouse (D-RI),"$111,100",ANTM,"Anthem, Inc.",Health Care,Medical Specialities
Dick Durbin (D-IL),"$110,900",ONEQ,Fidelity Nasdaq Composite Index,Finance,Property-Casualty Insurers
Lindsey Graham (R-SC),"$110,500",HOVLX,Homestead Value Fund,Finance,Property-Casualty Insurers
Sheldon Whitehouse (D-RI),"$110,400",KMB,Kimberly-Clark Corp,Finance,Property-Casualty Insurers
Tim Kaine (D-VA),"$110,400",KMB,Kimberly-Clark Corp,Finance,Property-Casualty Insurers
Kamala Harris (D-CA),"$110,100",MSUSX,SFDCP Real Estate,Finance,Property-Casualty Insurers
Chuck Grassley (R-IA),"$109,800",OPMYX,OPMYX - Oppenheimer Main Street Mid Cap Y,Finance,Property-Casualty Insurers
Joe Manchin (D-WV),"$109,700",DFMVX,DFA Tax-Managed US Marketwide Value II,Finance,Property-Casualty Insurers
Dianne Feinstein (D-CA),"$109,700",BAYRY,"Bayer AG, Sponsored American Depository Receipt",Finance,Property-Casualty Insurers
Doug Jones (D-AL),"$109,600",ADRVX,American Century Diversified Bond Fund,Finance,Property-Casualty Insurers
Ben Cardin (D-MD),"$109,600",CPOAX,Morgan Stanley Multi Cap Growth Fund,Finance,Property-Casualty Insurers
Tammy Duckworth (D-IL),"$109,500",VBK,Vanguard Small Cap Fund,Finance,Property-Casualty Insurers
John Hoeven (R-ND),"$109,100",XOM,Exxon Mobil,Finance,Property-Casualty Insurers
John Hoeven (R-ND),"$109,100",IRET,Investors Real Estate Trust,Finance,Property-Casualty Insurers
Susan Collins (R-ME),"$108,900",HSY,The Hershey Company,Finance,Property-Casualty Insurers
Sheldon Whitehouse (D-RI),"$108,700",RTX,United Technologies,Finance,Property-Casualty Insurers
Tammy Duckworth (D-IL),"$108,500",VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,Finance,Property-Casualty Insurers
Lamar Alexander (R-TN),"$108,000",LZSCX,Small-Mid Cap US Equity Common Trust Fund,Finance,Property-Casualty Insurers
Mike Lee (R-UT),"$108,000",FFFDX,Fidelity Freedom K 2020,Finance,Property-Casualty Insurers
Pat Toomey (R-PA),"$107,900",AMLP,Alerian MLP ETF,Finance,Property-Casualty Insurers
John Hoeven (R-ND),"$107,900",UNP,Union Pacific Corp,Finance,Property-Casualty Insurers
David Perdue (R-GA),"$107,400",COST,Costco Wholesale,Finance,Property-Casualty Insurers
Pat Toomey (R-PA),"$106,800",PFS,Provident Financial Services,Finance,Property-Casualty Insurers
Shelley Moore Capito (R-WV),"$106,700",CB,Chubb Corp,Finance,Property-Casualty Insurers
Tina Smith (D-MN),"$106,300",MMC,Marsh & McLennan,Finance,Property-Casualty Insurers
Pat Toomey (R-PA),"$106,200",VYM,Vanguard High Dividend Yield ETF,Finance,Property-Casualty Insurers
Rob Portman (R-OH),"$105,900",DFSTX,DFA US Small Cap Fund,Finance,Property-Casualty Insurers
John Boozman (R-AR),"$105,700",MDY,SPDR S&P Mid Cap 400 ETF,Finance,Property-Casualty Insurers
Chuck Grassley (R-IA),"$105,700",JDEZX,Prudential Jennison Equity Income Fund,Finance,Property-Casualty Insurers
Ben Cardin (D-MD),"$105,200",CHTRX,Invesco Charter A (NASDAQ),Finance,Property-Casualty Insurers
Jeff Merkley (D-OR),"$105,000",FLPSX,Fidelity Low Priced Stock Fund,Finance,Property-Casualty Insurers
Sheldon Whitehouse (D-RI),"$105,000",JNJ,Johnson & Johnson,Finance,Property-Casualty Insurers
Ben Cardin (D-MD),"$104,700",IJR,iShares Core S&P Small Cap ETF,Finance,Property-Casualty Insurers
Richard Burr (R-NC),"$104,700",SGENX,First Eagle Funds - Global Fund Mutual Fund,Finance,Property-Casualty Insurers
Elizabeth Warren (D-MA),"$104,400",TISBX,TIAA-CREF Small Cap Bl Index-Retirement,Finance,Property-Casualty Insurers
Rob Portman (R-OH),"$104,300",FAIRX,FAIRX - Fairholme (NASDAQ),Finance,Property-Casualty Insurers
Jeff Merkley (D-OR),"$104,300",FBGRX,Fidelity Blue Chip Growth,Finance,Property-Casualty Insurers
Tim Scott (R-SC),"$104,100",ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
James M Inhofe (R-OK),"$104,000",C,Citigroup Common Stock Fund,Health Care,Major Pharmaceuticals
Doug Jones (D-AL),"$103,900",MEIIX,MEIIX - MFS Value I,Health Care,Major Pharmaceuticals
Lamar Alexander (R-TN),"$103,600",ARSVX,ASTON/River Road Small Cap Value Fund,Health Care,Major Pharmaceuticals
Thom Tillis (R-NC),"$103,000",IXN,iShares Global Tech ETF,Health Care,Major Pharmaceuticals
Joni Ernst (R-IA),"$102,600",IRGPX,Voya Retirement Growth Portfolio,Health Care,Major Pharmaceuticals
Lindsey Graham (R-SC),"$102,600",DODGX,Dodge & Cox Stock Fund,Health Care,Major Pharmaceuticals
Tom Carper (D-DE),"$102,400",NKE,Nike Inc,Health Care,Major Pharmaceuticals
Pat Toomey (R-PA),"$102,100",IJT,iShares S&P Small-Cap 600 Growth Fund,Health Care,Major Pharmaceuticals
Kamala Harris (D-CA),"$102,000",EEM,iShares Emerging Market,Health Care,Major Pharmaceuticals
Rob Portman (R-OH),"$101,400",GOODX,GoodHaven,Health Care,Major Pharmaceuticals
Rob Portman (R-OH),"$101,200",VFIDX,Vanguard Interm-Term Investment-Grde Adm,Health Care,Major Pharmaceuticals
Joe Manchin (D-WV),"$100,600",DISVX,DFA International Small Cap Value Fund,Health Care,Major Pharmaceuticals
Mitch McConnell (R-KY),"$100,400",PRITX,T Rowe Price International Stock Fund,Health Care,Major Pharmaceuticals
Pat Toomey (R-PA),"$100,300",AIA,iShares Asia 50,Health Care,Major Pharmaceuticals
Shelley Moore Capito (R-WV),"$99,600",ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
John Hoeven (R-ND),"$99,300",SGENX,First Eagle Funds - Global Fund Mutual Fund,Finance,Investment Bankers/Brokers/Service
Lamar Alexander (R-TN),"$99,200",FPACX,FPA Crescent,Finance,Investment Bankers/Brokers/Service
David Perdue (R-GA),"$98,900",WFC,Wells Fargo,Finance,Investment Bankers/Brokers/Service
Pat Toomey (R-PA),"$98,900",DVY,iShares Select Dividend ETF,Finance,Investment Bankers/Brokers/Service
Tom Carper (D-DE),"$98,800",CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service
Chris Coons (D-DE),"$98,700",CGRWX,Oppenheimer Value Fund,Finance,Specialty Insurers
Chuck Grassley (R-IA),"$98,600",ARDEX,ASTON/River Road Dividend All Cap Val Fund,Finance,Specialty Insurers
Dan Sullivan (R-AK),"$98,300",PWC,PowerShares Dynamic Market ETF,Finance,Specialty Insurers
Shelley Moore Capito (R-WV),"$98,200",LOW,Lowe's Companies,Finance,Specialty Insurers
David Perdue (R-GA),"$97,900",MU,"Micron Technology, Inc.",Finance,Specialty Insurers
Chuck Grassley (R-IA),"$97,600",CAIBX,American Funds Capital Income Builder Fund,Finance,Specialty Insurers
Tom Udall (D-NM),"$97,600",CAIBX,American Funds Capital Income Builder Fund,Finance,Specialty Insurers
Richard Burr (R-NC),"$97,600",AON,Aon plc,Finance,Specialty Insurers
Amy Klobuchar (D-MN),"$97,300",FZAHX,Fidelity Growth Opportunity Fund,Technology,Semiconductors
Ben Cardin (D-MD),"$97,300",VWO,Vanguard Emerging Markets ETF,Technology,Semiconductors
Thad Cochran (R-MS),"$97,200",BX,Blackstone Group,Technology,Semiconductors
John Hoeven (R-ND),"$97,000",TRBCX,T Rowe Price Blue Chip Growth,Technology,Semiconductors
Ed Markey (D-MA),"$97,000",FDMMX,Fidelity Mass Muni Income Mutual Fund,Technology,Semiconductors
Doug Jones (D-AL),"$96,900",REEBX,American Funds Europacific Growth Fund,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$96,700",DIS,The Walt Disney Co,Technology,Semiconductors
Gary Peters (D-MI),"$96,600",REEBX,American Funds Europacific Growth Fund,Technology,Semiconductors
Tammy Duckworth (D-IL),"$96,500",VO,Vanguard Mid-Cap ETF,Technology,Semiconductors
David Perdue (R-GA),"$96,000",EXR,Extra Space Storage Inc.,Technology,Semiconductors
John Boozman (R-AR),"$95,900",DIS,The Walt Disney Co,Technology,Semiconductors
Jeff Merkley (D-OR),"$95,700",FDSVX,Fidelity Growth Discovery,Technology,Semiconductors
Chuck Grassley (R-IA),"$95,700",FIGRX,Fidelity International Discovery Fund,Technology,Semiconductors
Thom Tillis (R-NC),"$95,500",NHMAX,Nuveen High Yield Municipal Bond Fund,Technology,Semiconductors
Joe Manchin (D-WV),"$95,500",DFTSX,DFA Tax-Managed US Small Cap,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$95,300",CCI,Crown Castle International,Technology,Semiconductors
Tim Kaine (D-VA),"$95,200",XOM,Exxon Mobil,Technology,Semiconductors
Ron Wyden (D-OR),"$95,200",VWITX,Vanguard Interm-Term Tx-Ex Inv,Technology,Semiconductors
Chris Van Hollen (D-MD),"$94,800",VWIAX,Vanguard Wellesley Income Inv,Technology,Semiconductors
Chris Van Hollen (D-MD),"$94,500",VWINX,Wellesley Fund,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$94,500",ADI,"Analog Devices, Inc.",Technology,Semiconductors
Susan Collins (R-ME),"$94,000",TOLLX,Deutsche Global Infrastructure Fund,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$94,000",CWGIX,American Cap World Growth Income Fund,Technology,Computer Manufacturing
Susan Collins (R-ME),"$93,000",DHR,Danaher Corp,Technology,Computer Manufacturing
Joe Manchin (D-WV),"$92,300",DGTSX,DFA Global Allocation,Technology,Computer Manufacturing
David Perdue (R-GA),"$92,100",DFIGX,DFA Intermediate Govt Fixed-Income,Technology,Computer Manufacturing
Richard Burr (R-NC),"$91,900",EBAY,Ebay Inc,Technology,Computer Manufacturing
David Perdue (R-GA),"$91,300",HCA,HCA Holdings,Technology,Computer Manufacturing
Tina Smith (D-MN),"$91,200",YUM,Yum! Brands,Technology,Computer Manufacturing
Pat Toomey (R-PA),"$91,200",T,AT&T Inc,Technology,Computer Manufacturing
John Boozman (R-AR),"$90,900",RTX,United Technologies,Technology,Computer Manufacturing
Gary Peters (D-MI),"$90,600",HD,Home Depot,Technology,Computer Manufacturing
John Thune (R-SD),"$90,500",FKITX,Franklin Federal Interm-Term T/F Inc Fund,Technology,Computer Manufacturing
Shelley Moore Capito (R-WV),"$90,200",CLX,Clorox Co,Technology,Computer Manufacturing
Jeanne Shaheen (D-NH),"$90,100",VAIPX,Vanguard Inflation-Protected Secs Adm Fund,Technology,Computer Manufacturing
John Hoeven (R-ND),"$90,100",JNJ,Johnson & Johnson,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$89,700",PRSCX,T Rowe Price Science & Tech,Technology,Computer Manufacturing
Pat Toomey (R-PA),"$89,700",RSP,Guggenheim S&P 500 Equal Weight,Technology,Computer Manufacturing
Pat Toomey (R-PA),"$89,600",IJJ,iShares S&P Mid Cap 400 Value Index,Technology,Computer Manufacturing
Mike Rounds (R-SD),"$89,500",VGT,Vanguard Information Technology ETF,Technology,Computer Manufacturing
Pat Toomey (R-PA),"$89,400",PFF,IShares US Preferred Stock ETF,Technology,Computer Manufacturing
Susan Collins (R-ME),"$89,400",JNJ,Johnson & Johnson,Technology,Computer Manufacturing
Richard Burr (R-NC),"$88,800",D,"D- Dominion Resources, Inc. (NYSE)",Technology,Computer Manufacturing
Tammy Duckworth (D-IL),"$88,700",VTV,Vanguard Index Funds - Vanguard Value ETF,Technology,Computer Manufacturing
Susan Collins (R-ME),"$88,100",AAPL,Apple Inc.,Technology,Computer Manufacturing
John Boozman (R-AR),"$88,100",IQV,IQVIA Holdings Inc.,Consumer Services,Catalog/Specialty Distribution
Susan Collins (R-ME),"$88,100",COP,ConocoPhillips,Consumer Services,Catalog/Specialty Distribution
Tim Kaine (D-VA),"$88,100",DIFAX,MFS Diversified Income Fund,Consumer Services,Catalog/Specialty Distribution
David Perdue (R-GA),"$88,100",CSRIX,Cohen & Steers Institutional Realty,Consumer Services,Catalog/Specialty Distribution
James M Inhofe (R-OK),"$87,900",UNH,Unitedhealth Group,Consumer Services,Catalog/Specialty Distribution
Tammy Duckworth (D-IL),"$87,600",BIV,BIV Vanguard Bond Intermediate ETF,Consumer Services,Catalog/Specialty Distribution
Susan Collins (R-ME),"$87,500",DVFAX,Cohen &amp; Steers Dividend Value A (NASDAQ),Consumer Services,Catalog/Specialty Distribution
Michael Bennet (D-CO),"$87,300",VWUSX,Vanguard US Growth Portfolio Fund,Consumer Services,Catalog/Specialty Distribution
John Boozman (R-AR),"$87,300",UNP,Union Pacific Corp,Consumer Services,Catalog/Specialty Distribution
Thom Tillis (R-NC),"$87,200",DEGCX,Delaware Pooled International Equity Fund,Consumer Services,Catalog/Specialty Distribution
Tom Carper (D-DE),"$87,100",AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
Tim Kaine (D-VA),"$87,100",MDISX,Mutual Global Discovery Z Fund,Consumer Services,Real Estate Investment Trusts
John Hoeven (R-ND),"$87,000",SPG,"Simon Property Group, Inc.",Consumer Services,Real Estate Investment Trusts
Jack Reed (D-RI),"$86,900",XLNX,Xiling III,Consumer Services,Real Estate Investment Trusts
David Perdue (R-GA),"$86,700",IP,International Paper,Consumer Services,Real Estate Investment Trusts
Shelley Moore Capito (R-WV),"$86,600",MDLZ,Kraft Foods,Consumer Services,Real Estate Investment Trusts
John Boozman (R-AR),"$86,500",DIA,Dow Jones EFT,Consumer Services,Real Estate Investment Trusts
Tammy Duckworth (D-IL),"$86,400",VWO,Vanguard Emerging Markets ETF,Consumer Services,Real Estate Investment Trusts
Chris Coons (D-DE),"$86,100",PWBAX,Virtus AlphaSector Rotation,Consumer Services,Real Estate Investment Trusts
Tina Smith (D-MN),"$86,000",ABALX,Balanced Fund,Consumer Services,Real Estate Investment Trusts
Rob Portman (R-OH),"$85,900",IVWAX,IVA Worldwide I,Consumer Services,Real Estate Investment Trusts
Tim Kaine (D-VA),"$85,600",TEDIX,Mutual Global Discovery Fund,Consumer Services,Real Estate Investment Trusts
Angus King (D-ME),"$85,300",PRSNX,T Rowe Price Strategic Income,Consumer Services,Real Estate Investment Trusts
David Perdue (R-GA),"$85,300",BX,Blackstone Group,Consumer Services,Real Estate Investment Trusts
Chris Van Hollen (D-MD),"$85,200",TRRHX,T Rowe Price 2025,Consumer Services,Real Estate Investment Trusts
Shelley Moore Capito (R-WV),"$85,100",ITW,Illinois Tool Works,Consumer Services,Real Estate Investment Trusts
Joe Manchin (D-WV),"$85,100",DTMVX,DFA Tax-Managed US Targeted Value,Consumer Services,Real Estate Investment Trusts
James Lankford (R-OK),"$84,900",FNIAX,Fidelity Advisor New Insights Fund,Consumer Services,Real Estate Investment Trusts
Tim Kaine (D-VA),"$84,800",MEDAX,MFS Emerging Markets Debt Fund,Consumer Services,Real Estate Investment Trusts
David Perdue (R-GA),"$84,600",AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
Jack Reed (D-RI),"$84,600",MSFT,Microsoft Corp,Finance,Specialty Insurers
Barbara A Mikulski (D-MD),"$84,600",PRNHX,T Rowe Price New Horizons,Finance,Specialty Insurers
Tim Kaine (D-VA),"$84,400",T,AT&T Inc,Finance,Specialty Insurers
John Boozman (R-AR),"$84,300",TGT,Target Corp,Finance,Specialty Insurers
Susan Collins (R-ME),"$84,300",V,Visa Inc,Finance,Specialty Insurers
Doug Jones (D-AL),"$84,200",MET,MetLife Inc,Finance,Specialty Insurers
Pat Roberts (R-KS),"$84,200",FB,Facebook Inc,Finance,Specialty Insurers
Tim Kaine (D-VA),"$83,700",SLRC,Solar Capital Ltd,Finance,Specialty Insurers
Angus King (D-ME),"$83,600",NKE,Nike Inc,Finance,Specialty Insurers
Chris Coons (D-DE),"$83,400",ITBAX,Hartford Capital Total Return Bond Fund,Finance,Specialty Insurers
James M Inhofe (R-OK),"$83,300",MSFT,Microsoft Corp,Finance,Specialty Insurers
James M Inhofe (R-OK),"$83,300",CRSP,CRISPR Therapeutics AG,Finance,Specialty Insurers
John Boozman (R-AR),"$83,100",GIGB,Goldman Sachs ETF Tr Access Invt Gr,Finance,Specialty Insurers
Chuck Grassley (R-IA),"$82,900",OIBNX,Oppenheimer International Bond,Finance,Specialty Insurers
Lamar Alexander (R-TN),"$82,900",ECEIX,Lazard Emerging Markets Core Equity Fund,Finance,Specialty Insurers
Thad Cochran (R-MS),"$82,900",AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
Rob Portman (R-OH),"$82,500",TSDIX,Touchstone Ultra Short Dur Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Rob Portman (R-OH),"$81,900",TDTT,Dreyfus/The Boston Co Small Cap Growth Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Susan Collins (R-ME),"$81,900",MCHP,Microchip Technology,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
James Lankford (R-OK),"$81,600",FDCAX,Fidelity Capital Appreciation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Sheldon Whitehouse (D-RI),"$81,500",IBM,IBM Corp,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Tom Carper (D-DE),"$81,400",OHI,Omega Healthcare Investors,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Jack Reed (D-RI),"$81,200",XBI,SPDR S&P Biotech ETF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Pat Toomey (R-PA),"$80,800",DBP,PowerShares DB Precious Metals ETF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Joe Manchin (D-WV),"$80,700",VWSTX,Vanguard Short Term Tax Exempt Fund,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Shelley Moore Capito (R-WV),"$80,200",AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
Doug Jones (D-AL),"$79,900",FDTTX,Fidelity Advisor Capital Development,Health Care,Major Pharmaceuticals
Rob Portman (R-OH),"$79,700",BPIRX,Rebeco Boston Partners Long Short Fund,Health Care,Major Pharmaceuticals
Angus King (D-ME),"$79,400",RPIFX,T Rowe Price Insitututional Floating Rate,Health Care,Major Pharmaceuticals
James M Inhofe (R-OK),"$79,300",FDX,FedEx Corp,Health Care,Major Pharmaceuticals
Tom Carper (D-DE),"$79,200",MET,MetLife Inc,Health Care,Major Pharmaceuticals
Shelley Moore Capito (R-WV),"$79,200",MCD,McDonald's Corp,Health Care,Major Pharmaceuticals
Maria Cantwell (D-WA),"$79,100",HACAX,Harbor Capital Appreciation Institutional,Health Care,Major Pharmaceuticals
John Hoeven (R-ND),"$79,000",HAS,"Hasbro, Inc.",Health Care,Major Pharmaceuticals
Tim Kaine (D-VA),"$78,600",RYSEX,Royce Special Equity Investment Fund,Health Care,Major Pharmaceuticals
Doug Jones (D-AL),"$78,400",JLPYX,JPMorgan US Large Cap Core Plus Fund,Health Care,Major Pharmaceuticals
Susan Collins (R-ME),"$78,400",HSIC,Henry Schein Inc,Health Care,Major Pharmaceuticals
Mike Enzi (R-WY),"$78,100",TWCUX,TWCUX - American Century Ultra Inv (NASDAQ),Health Care,Major Pharmaceuticals
Thad Cochran (R-MS),"$78,000",JNJ,Johnson & Johnson,Health Care,Major Pharmaceuticals
John Hoeven (R-ND),"$77,900",VFIJX,Vanguard GNMA Fund,Health Care,Major Pharmaceuticals
Lindsey Graham (R-SC),"$77,900",TRBCX,T Rowe Price Blue Chip Growth,Health Care,Major Pharmaceuticals
Mazie K Hirono (D-HI),"$77,900",TRBCX,T Rowe Price Blue Chip Growth,Health Care,Major Pharmaceuticals
Dan Sullivan (R-AK),"$77,800",WCMIX,WCM Focused International Growth Fund Institutiona,Health Care,Major Pharmaceuticals
Mark Warner (D-VA),"$77,600",APHKX,Artisan International Value Fund,Health Care,Major Pharmaceuticals
Thom Tillis (R-NC),"$77,500",LCMAX,Driehaus Active Income Fund,Health Care,Major Pharmaceuticals
Tim Kaine (D-VA),"$77,400",BPRIX,Blackrock Inflation Protected Bond Portfolio,Health Care,Major Pharmaceuticals
Thad Cochran (R-MS),"$77,400",MPW,Medical Properties Trust,Health Care,Major Pharmaceuticals
Richard Blumenthal (D-CT),"$77,300",FRFHF,Fairfax Merrifield Assoc,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$77,300",JARTX,Janus Forty I (NASDAQ),Health Care,Major Pharmaceuticals
Shelley Moore Capito (R-WV),"$77,200",WEC,Integrys Energy Group,Health Care,Major Pharmaceuticals
Thom Tillis (R-NC),"$77,000",IBM,IBM Corp,Health Care,Major Pharmaceuticals
Pat Toomey (R-PA),"$77,000",ILF,iShares Latin America 40 ETF,Health Care,Major Pharmaceuticals
Thom Tillis (R-NC),"$76,900",DODFX,Dodge & Cox International Fund,Health Care,Major Pharmaceuticals
John Boozman (R-AR),"$76,700",TIP,iShares Tips Bond ETF,Health Care,Major Pharmaceuticals
Tim Kaine (D-VA),"$76,700",ODMAX,Oppenheimer Developing Markets Fund,Health Care,Major Pharmaceuticals
Ben Sasse (R-NE),"$76,400",GVI,iShares Interm Government/Credit Bond,Health Care,Major Pharmaceuticals
Tom Carper (D-DE),"$76,400",ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
Shelley Moore Capito (R-WV),"$76,000",MDT,Medtronic Inc,Public Utilities,Electric Utilities: Central
Angus King (D-ME),"$75,700",MAR,Marriott International,Public Utilities,Electric Utilities: Central
Tim Kaine (D-VA),"$75,400",GE,GE Capital,Public Utilities,Electric Utilities: Central
Tina Smith (D-MN),"$75,400",TCMD,Tactile Systems Technology,Public Utilities,Electric Utilities: Central
